Date,Price,Open,High,Low,Vol.,Change %
22/05/2025,117.28,117.63,118.24,116.75,625.56K,-0.81%
21/05/2025,118.24,116.26,118.56,115.9,1.15M,2.43%
20/05/2025,115.44,111.57,115.65,111.53,704.16K,5.17%
16/05/2025,109.77,108.03,109.78,107.14,923.47K,-0.19%
15/05/2025,109.98,108.3,110.03,107.39,840.12K,2.89%
14/05/2025,106.89,106.5,107.25,105.36,1.30M,-2.28%
13/05/2025,109.38,111.4,111.5,108.37,1.14M,-1.00%
12/05/2025,110.49,114.53,114.53,110.07,748.18K,-7.59%
09/05/2025,119.56,116.53,120.5,115.21,803.41K,3.97%
08/05/2025,114.99,116.54,117.63,114.94,980.26K,-2.11%
07/05/2025,117.47,115.99,117.79,115.63,886.96K,-0.53%
06/05/2025,118.09,116.59,118.25,115.59,560.92K,2.52%
05/05/2025,115.19,114.98,115.59,112.88,433.24K,3.14%
02/05/2025,111.68,113.42,113.54,110.47,932.14K,-0.52%
01/05/2025,112.26,112.33,112.86,111.06,605.93K,-2.48%
30/04/2025,115.11,112.5,115.15,112.49,1.09M,1.65%
29/04/2025,113.24,112.43,113.8,112.43,623.07K,-0.16%
28/04/2025,113.42,112.55,113.46,111.19,893.23K,0.24%
25/04/2025,113.15,110.68,113.57,110.67,633.75K,-0.64%
24/04/2025,113.88,113.87,114.46,112.23,548.04K,0.61%
23/04/2025,113.19,110.88,113.97,109.45,1.16M,-1.96%
22/04/2025,115.45,118.82,119,114.91,1.07M,-2.03%
21/04/2025,117.84,119.65,120.6,116.69,644.75K,1.27%
17/04/2025,116.36,117.54,117.54,115.14,396.08K,-1.06%
16/04/2025,117.61,119.94,119.94,116.38,844.30K,1.00%
15/04/2025,116.44,115.18,116.73,113.61,748.84K,1.94%
14/04/2025,114.22,113.35,115.99,111.88,750.62K,0.15%
11/04/2025,114.05,110.72,115.16,110.72,1.00M,4.71%
10/04/2025,108.92,105.72,110.2,104.08,1.19M,3.37%
09/04/2025,105.37,102.77,106.72,102.03,952.36K,4.75%
08/04/2025,100.59,104.27,104.55,99.49,1.44M,-0.07%
07/04/2025,100.66,98,105.17,96.18,1.33M,-0.27%
04/04/2025,100.93,107.92,109.6,100.8,1.65M,-8.78%
03/04/2025,110.64,103.74,112.9,103.42,971.68K,-0.52%
02/04/2025,111.22,110.82,111.42,108.62,829.85K,1.16%
01/04/2025,109.95,111.74,111.97,108.47,860.86K,-1.54%
31/03/2025,111.67,110.66,112.21,108.58,1.20M,1.49%
28/03/2025,110.03,110.5,111.37,108.97,1.11M,0.33%
27/03/2025,109.67,108.82,110.05,108.24,477.23K,2.01%
26/03/2025,107.51,109.06,109.06,107.21,446.96K,-0.90%
25/03/2025,108.49,108.51,109.36,107.73,836.22K,1.11%
24/03/2025,107.3,107.1,108.44,107.06,511.15K,-0.31%
21/03/2025,107.63,107.73,107.86,105.81,2.14M,-0.52%
20/03/2025,108.19,108.22,109.79,107.44,601.48K,-0.90%
19/03/2025,109.17,108.07,109.35,107.02,617.89K,1.09%
18/03/2025,107.99,110.43,110.46,106.87,907.86K,-0.53%
17/03/2025,108.56,107.21,109.07,106.34,881.89K,2.38%
14/03/2025,106.04,107.12,107.72,104.38,606.47K,0.97%
13/03/2025,105.02,103.03,106.17,102.86,688.10K,2.56%
12/03/2025,102.4,101.8,102.82,101.3,616.97K,-0.10%
11/03/2025,102.5,101.38,103.62,101.21,865.18K,1.83%
10/03/2025,100.66,100.62,102.34,100.18,871.41K,-0.67%
07/03/2025,101.34,100.77,103.01,100.45,620.73K,0.90%
06/03/2025,100.44,100.47,102.22,99.74,712.08K,-1.32%
05/03/2025,101.78,99.81,101.84,99.32,591.21K,1.99%
04/03/2025,99.79,99.74,101.22,98.7,696.70K,0.13%
03/03/2025,99.66,100.75,102.05,99.08,868.71K,-0.23%
28/02/2025,99.89,96.64,100.07,96.3,2.57M,1.71%
27/02/2025,98.21,99.92,101,97.64,557.23K,-2.58%
26/02/2025,100.81,98.15,101.33,98.15,520.10K,2.19%
25/02/2025,98.65,97.13,98.85,96.18,759.48K,0.46%
24/02/2025,98.2,97.87,98.62,96.29,425.45K,1.38%
21/02/2025,96.86,98.37,98.64,96.78,547.33K,-2.28%
20/02/2025,99.12,98.65,99.79,97.98,753.43K,0.27%
19/02/2025,98.85,97.26,99.16,95.96,909.88K,1.37%
18/02/2025,97.51,96.55,97.92,96.38,909.37K,1.88%
14/02/2025,95.71,98.46,98.49,95.38,632.19K,-2.59%
13/02/2025,98.25,97.67,98.76,96.47,547.08K,0.71%
12/02/2025,97.56,95.2,97.61,95.2,563.13K,2.18%
11/02/2025,95.48,96,96.44,95.41,414.13K,-1.43%
10/02/2025,96.87,96.52,97.4,95.63,596.52K,2.45%
07/02/2025,94.55,95.96,96.99,94.28,749.61K,-1.19%
06/02/2025,95.69,94.79,95.76,93.94,794.52K,1.32%
05/02/2025,94.44,92.59,95.7,92.59,867.49K,3.06%
04/02/2025,91.64,92,92.67,90.96,593.94K,-0.96%
03/02/2025,92.53,90.72,93.28,90.72,891.36K,2.04%
31/01/2025,90.68,91.5,92.21,90.28,729.16K,-0.81%
30/01/2025,91.42,88.83,91.63,88.27,705.87K,4.85%
29/01/2025,87.19,87.03,88.52,86.85,556.61K,0.30%
28/01/2025,86.93,85.42,86.99,84.76,669.89K,2.15%
27/01/2025,85.1,85.13,85.4,83.89,452.79K,-1.13%
24/01/2025,86.07,85.83,86.53,85.46,612.95K,1.56%
23/01/2025,84.75,84.12,84.81,83.16,517.16K,-0.13%
22/01/2025,84.86,85.9,86,84.47,415.85K,-0.53%
21/01/2025,85.31,83.75,86.62,83.75,591.48K,1.51%
20/01/2025,84.04,83.5,84.47,82.51,101.47K,0.61%
17/01/2025,83.53,82.56,83.96,81.85,581.49K,0.94%
16/01/2025,82.75,84.13,84.63,82.65,339.42K,-0.65%
15/01/2025,83.29,82.43,83.33,80.97,590.25K,1.91%
14/01/2025,81.73,80.48,82.45,80.43,668.66K,1.84%
13/01/2025,80.25,81.5,81.51,80.04,417.15K,-2.73%
10/01/2025,82.5,84.22,84.69,82.16,818.53K,-2.08%
09/01/2025,84.25,83.17,84.4,83.17,209.88K,1.26%
08/01/2025,83.2,81.62,83.83,81.57,786.33K,1.92%
07/01/2025,81.63,82.1,83.56,81.21,641.48K,0.88%
06/01/2025,80.92,83.15,83.27,80.84,376.06K,-2.71%
03/01/2025,83.17,83.82,84.07,83.07,567.24K,-0.59%
02/01/2025,83.66,82.49,84.06,82.44,508.95K,3.40%
31/12/2024,80.91,80.3,81.23,80.3,398.59K,0.51%
30/12/2024,80.5,81.32,81.32,79.88,467.32K,-2.15%
27/12/2024,82.27,81.6,82.51,81.4,339.62K,-0.42%
24/12/2024,82.62,82.47,82.97,81.93,182.20K,0.23%
23/12/2024,82.43,81.84,82.71,81.21,868.07K,0.38%
20/12/2024,82.12,82.45,83.43,81.83,2.86M,0.29%
19/12/2024,81.88,82.74,83.68,81.58,532.76K,-0.85%
18/12/2024,82.58,85.28,85.67,82.39,654.56K,-3.47%
17/12/2024,85.55,84.99,85.96,84.48,940.57K,-0.04%
16/12/2024,85.58,86.24,86.99,85.43,623.82K,-0.74%
13/12/2024,86.22,86.86,87.15,85.72,567.54K,-1.30%
12/12/2024,87.36,89.42,89.42,87.23,680.64K,-3.71%
11/12/2024,90.73,88,90.75,87.84,778.82K,3.62%
10/12/2024,87.56,88.7,89.42,87.21,862.61K,-0.69%
09/12/2024,88.17,88.83,90.77,88.04,723.38K,1.53%
06/12/2024,86.84,88.66,88.73,86.67,433.47K,-1.65%
05/12/2024,88.3,88.32,89.17,87.16,502.46K,-0.29%
04/12/2024,88.56,88.4,89.59,88.4,455.85K,-0.28%
03/12/2024,88.81,87.3,89.33,87.28,1.06M,2.85%
02/12/2024,86.35,86.82,87.09,86.1,475.73K,-0.88%
29/11/2024,87.12,87.22,87.95,86.76,472.85K,0.32%
28/11/2024,86.84,86.63,87.39,86.21,100.94K,0.31%
27/11/2024,86.57,87.61,88.15,86.15,439.04K,-0.82%
